deficience	gyengeség
cascade	zuhog, aláesik
graceful	elegáns, méltóságteljes
rigour	szigor
embark	beszáll, behajóz
disorienting	zavaró
needlessly	szükségtelenül, feleslegesen
payload	hasznos teher
inversely proportional	fordítottan arányos
exclamation	felkiáltás
asterisk	csillag
savvy	hozzáértés, ész
intrinsically	eredendően
praise	dícsér
precipitation	csapadék
normally	normálisan, rendszerint
attainable	megvalósítható
decipher	megold, megfejt
temper	meghamisít, befolyásol
conformance egyezés, megfelelőség
bidirectional  kétirányú
triage   prioritási sorrend
